ID,Latitude,Longitude,Accuracy,Time,Data1,Data2 
0.0,-33.49238706,151.30273819,3.2160000801086426,142316,0.0,0.0
12.56,-33.49238727,151.30273624,3.2160000801086426,142322,308.0,8.38
8.38,-33.49238729,151.30273631,3.2160000801086426,142323,309.0,8.38
12.54,-33.49238728,151.30273629,3.2160000801086426,142324,307.0,8.39
12.54,-33.49238729,151.30273629,3.2160000801086426,142325,307.0,8.4
12.55,-33.49238731,151.30273617,3.2160000801086426,142326,309.0,8.4
12.56,-33.49239703,151.3027331,3.2160000801086426,142327,309.0,8.41
12.55,-33.49240545,151.30272741,3.2160000801086426,142328,309.0,8.39
12.54,-33.49240404,151.30272349,3.2160000801086426,142329,310.0,8.38
12.54,-33.49240659,151.30273193,3.2160000801086426,142330,309.0,8.38
12.53,-33.49241481,151.3027244,3.2160000801086426,142331,309.0,8.38
12.53,-33.49241134,151.30272656,3.2160000801086426,142332,308.0,8.38
8.38,-33.49241075,151.30273012,3.2160000801086426,142333,308.0,8.38
12.52,-33.49240764,151.30273529,3.2160000801086426,142334,308.0,8.38
12.52,-33.49240085,151.30274384,3.2160000801086426,142335,307.0,8.38
12.52,-33.49239706,151.30275325,3.2160000801086426,142336,308.0,8.37
12.52,-33.49239636,151.30275445,3.2160000801086426,142337,309.0,8.37
12.52,-33.49239311,151.30276165,3.2160000801086426,142338,308.0,8.36
12.51,-33.49239447,151.30276088,3.2160000801086426,142339,308.0,8.36
12.51,-33.49239459,151.30275948,3.2160000801086426,142340,310.0,8.36
12.5,-33.49239433,151.30275755,3.2160000801086426,142341,308.0,8.36
12.5,-33.49239503,151.30275718,3.2160000801086426,142342,309.0,8.36
12.51,-33.4923964,151.30275995,3.2160000801086426,142343,309.0,8.36
8.36,-33.49239831,151.3027585,3.2160000801086426,142344,308.0,8.36
12.51,-33.49239968,151.30275823,3.2160000801086426,142345,308.0,8.35
12.51,-33.49240065,151.30275751,3.2160000801086426,142346,309.0,8.36
12.52,-33.49240068,151.30275754,3.2160000801086426,142347,309.0,8.36
12.52,-33.49240077,151.30275745,3.2160000801086426,142348,308.0,8.37
12.51,-33.49240077,151.30275726,3.2160000801086426,142349,309.0,8.37
12.51,-33.49240073,151.30275721,3.2160000801086426,142350,308.0,8.36
12.51,-33.4924007,151.30275712,3.2160000801086426,142351,310.0,8.35
12.51,-33.49240068,151.30275705,3.2160000801086426,142352,312.0,8.33
12.52,-33.4924007,151.30275698,3.2160000801086426,142353,312.0,8.32
12.52,-33.49240068,151.30275692,3.2160000801086426,142354,314.0,8.3
12.52,-33.49240064,151.30275693,3.2160000801086426,142355,313.0,8.29
12.53,-33.49240067,151.30275695,3.2160000801086426,142356,312.0,8.3
12.52,-33.49240065,151.30275699,3.2160000801086426,142357,313.0,8.3
8.3,-33.49240064,151.30275702,3.2160000801086426,142358,312.0,8.3
12.52,-33.49240061,151.30275702,3.2160000801086426,142359,312.0,8.31
12.5,-33.49240063,151.30275696,3.2160000801086426,142400,312.0,8.31
12.52,-33.49240063,151.30275697,3.2160000801086426,142401,311.0,8.32
12.51,-33.49240066,151.30275698,3.2160000801086426,142402,313.0,8.33
12.5,-33.49240068,151.30275695,3.2160000801086426,142403,313.0,8.33
12.49,-33.49240068,151.30275699,3.2160000801086426,142404,312.0,8.33
12.49,-33.49240064,151.30275698,3.2160000801086426,142405,313.0,8.33
12.5,-33.49240059,151.30275701,3.2160000801086426,142406,313.0,8.33
8.33,-33.49240055,151.30275702,3.2160000801086426,142407,313.0,8.33
12.51,-33.49240053,151.30275704,3.2160000801086426,142408,313.0,8.33
12.51,-33.49240049,151.3027571,3.2160000801086426,142409,313.0,8.33
12.5,-33.49240043,151.30275715,3.2160000801086426,142410,312.0,8.34
