i0,i1,i2,i3,i4,i5,i6,i7,i8,i9,
-39458.9,-30616.9,-6420.898,20967.1,39330.1,42298.1,29158.1,4544.101,-22314.9,-37485.9,
-35166.1,-39672.1,-34354.1,-13553.1,14531.9,35958.9,43119.9,33798.9,11417.9,-16082.1,
-11870.1,-33202.1,-39609.1,-36178.1,-17811.1,10267.9,33420.9,43097.9,36312.9,15570.9,
-8760.797,18932.2,38320.2,42697.2,30780.2,6840.203,-20375.8,-36833.8,-39580.8,-32018.8,
-39583.4,-31796.4,-8485.398,19187.6,38476.6,42628.6,30568.6,6568.601,-20633.4,-36931.4,
-32322.0,-9401.0,18357.0,38068.0,42734.0,31220.0,7447.0,-19811.0,-36678.0,-39614.0,
-22183.0,5391.0,30132.0,42600.0,38687.0,19987.0,-6950.0,-30508.0,-39411.0,-37745.0,
37769.8,18235.8,-8921.203,-31647.2,-39506.2,-37154.2,-20501.2,7360.796,31508.8,42854.8,
-25598.2,-38427.2,-39095.2,-27952.2,-2197.203,24471.8,40815.8,41359.8,26113.8,508.7969,
-26881.2,-38763.2,-38845.2,-26623.2,-282.2031,25927.8,41360.8,40794.8,24655.8,-1344.203,
-24053.5,-38045.5,-39307.5,-29238.5,-4255.5,22808.5,40177.5,41825.5,27603.5,2485.5,
-17777.0,10296.0,33413.0,43093.0,36294.0,15537.0,-11823.0,-33202.0,-39643.0,-36188.0,
-11188.1,-32896.1,-39593.1,-36394.1,-18460.1,9600.898,32996.9,43053.9,36665.9,16213.9,
27161.2,1881.203,-24478.8,-38143.8,-39245.8,-28906.8,-3650.797,23276.2,40344.2,41763.2,
31805.6,42895.6,37584.6,17841.6,-9329.398,-31887.4,-39503.4,-37016.4,-20131.4,7740.602,
-39442.0,-30330.0,-5939.0,21377.0,39516.0,42235.0,28812.0,4096.0,-22698.0,-37627.0,
37926.7,18478.7,-8606.297,-31496.3,-39467.3,-37241.3,-20761.3,7036.703,31298.7,42831.7,
14657.9,-12764.1,-33632.1,-39656.1,-35867.1,-16935.1,11185.9,33992.9,43176.9,35840.9,
-39500.2,-37207.2,-20572.2,7235.796,31398.8,42845.8,37840.8,18315.8,-8780.204,-31577.2,
43164.4,34611.4,12701.4,-14776.6,-34581.6,-39693.6,-34966.6,-14889.6,13209.4,35221.4,
-2642.797,24118.2,40666.2,41486.2,26458.2,952.2031,-25227.8,-38345.8,-39172.79,-28291.8,
-39668.7,-33381.7,-11450.7,16524.3,37100.3,42989.3,32482.3,9409.297,-18016.7,-35987.7,
28890.9,42347.9,39418.9,21486.9,-5153.101,-29444.1,-39244.1,-38163.1,-23683.1,3542.898,
-23884.4,3339.602,28655.6,42236.6,39515.6,21722.6,-4878.398,-29250.4,-39222.4,-38234.4,
-4125.5,-28769.5,-39119.5,-38381.5,-24525.5,2514.5,28097.5,42049.5,39843.5,22416.5,
-39000.2,-38601.2,-25387.2,1372.797,27236.8,41807.79,40247.8,23321.8,-2989.203,-28009.2,
21643.4,-4934.602,-29295.6,-39213.6,-38179.6,-23831.6,3334.398,28704.4,42242.4,39530.4,
34815.1,43186.1,35101.1,13443.1,-14015.9,-34266.9,-39703.9,-35353.9,-15661.9,12457.1,
38656.3,42613.3,30327.3,6201.297,-20924.7,-37057.7,-39551.7,-31610.7,-8143.703,19490.3,
35554.4,43167.4,34316.4,12237.4,-15248.6,-34823.6,-39702.6,-34760.6,-14420.6,13680.4,
-3871.797,23126.2,40263.2,41763.2,27345.2,2130.203,-24288.8,-38108.8,-39275.8,-29082.8,
-39118.29,-38500.3,-24901.3,1988.703,27715.7,42001.7,40018.7,22800.7,-3570.297,-28435.3,
22860.9,-3480.101,-28370.1,-39061.1,-38500.1,-25007.1,1878.899,27628.9,41962.9,40086.9,
-39686.8,-34811.8,-14389.8,13730.2,35497.2,43169.2,34334.2,12220.2,-15249.8,-34812.8,
17812.1,-9348.899,-31862.9,-39535.9,-37021.9,-20121.9,7776.102,31792.1,42921.1,37590.1,
12461.5,34769.5,43198.5,35095.5,13465.5,-13966.5,-34248.5,-39701.5,-35341.5,-15732.5,
-6015.0,21335.0,39512.0,42215.0,28897.0,4194.0,-22627.0,-37620.0,-39449.0,-30442.0,
31972.7,42997.7,37461.7,17643.7,-9543.297,-32039.3,-39547.3,-36990.3,-19933.3,7977.703,
32949.5,43089.5,36733.5,16268.5,-11027.5,-32806.5,-39606.5,-36482.5,-18567.5,9449.5,
-33750.2,-12195.2,15842.8,36729.8,43098.8,32964.8,10099.8,-17366.2,-35714.2,-39710.2,
7268.5,31456.5,42877.5,37846.5,18314.5,-8789.5,-31612.5,-39513.5,-37220.5,-20627.5,
27306.2,2047.203,-24376.8,-38129.8,-39280.8,-29038.8,-3824.797,23170.2,40302.2,41825.2,
-3455.797,23442.2,40410.2,41709.2,27048.2,1731.203,-24595.8,-38196.79,-39249.8,-28842.8,
3102.102,-23484.9,-37879.9,-39382.9,-29735.9,-4938.899,22214.1,39886.1,42079.1,28141.1,
-39484.5,-30446.5,-6094.5,21267.5,39462.5,42290.5,28938.5,4244.5,-22577.5,-37600.5,
4054.203,29218.2,42398.2,39289.2,21105.2,-5629.797,-29725.8,-39289.8,-38083.8,-23335.8,
42836.7,31163.7,7360.703,-19885.3,-36682.3,-39657.3,-32312.3,-9354.297,18417.7,38112.7,
-29430.8,-4471.797,22618.2,40109.2,41940.2,27781.2,2680.203,-23837.8,-38025.8,-39362.79,
25778.7,68.70313,-25836.3,-38517.3,-39081.3,-27671.3,-1799.297,24798.7,40957.7,41301.7,
-32460.1,-39584.1,-36743.1,-19238.1,8732.898,32444.9,43041.9,37134.9,16946.9,-10276.1,
-22284.3,-37533.3,-39532.3,-30684.3,-6498.296,20913.7,39321.7,42374.7,29255.7,4666.703,
777.2031,746.9687,341.4023,-267.9453,-1444.08,-307.2031,2803.031,-486.4023,-2018.061,-144.916,
-432.5381,-1624.918,586.0703,2555.441,-1406.412,-1571.273,140.1094,781.1328,634.7656,337.6172,
