i0,i1,i2,i3,i4,i5,i6,i7,i8,i9
-81.04004,-172.3484,-205.9797,-197.0117,-118.8437,-2.960938,176.352,270.978,240.0137,90.84375
-258.3889,-248.2842,-176.9619,-11.33008,163.0327,311.9838,324.876,165.5557,-61.0752,-209.4409
266.2656,82.99219,-89.01758,-192.6096,-236.27,-211.0645,-137.7891,36.21973,199.8191,281.4741
-190.1582,-111.0068,-47.49121,90.70899,210.0552,232.5649,147.4131,-28.10254,-126.3047,-177.6484
106.9713,143.582,75.02832,13.62402,-36.99219,-71.37573,-84.98633,-102.4336,-61.03027,17.58936
140.7476,109.0615,-13.7168,-36.13477,-76.89429,-92.33985,-97.65528,-59.87793,13.53955,113.3044
115.6632,151.5205,103.5225,-2.147461,-57.60742,-85.25513,-103.1128,-95.11523,-61.44531,34.0166
-83.91797,-3.753418,86.3052,121.2266,109.4893,3.713867,-34.45313,-40.51221,-76.4375,-81.69434
111.6797,149.5361,115.5288,15.7959,-89.27051,-176.4756,-148.332,-61.32471,20.40723,62.47364
62.66992,-26.30859,-71.34766,-65.1377,-88.47266,-91.07617,-46.09473,34.93701,155.7322,135.0674
-29.3291,-68.28101,-74.98096,-83.55371,-95.1211,-34.87109,75.0791,156.7788,130.3506,23.91797
-38.61719,-43.95142,-67.04004,-74.0332,-66.4248,-29.58496,49.74927,131.8374,109.8301,28.22168
-101.9482,-23.88965,24.76611,78.05371,86.73633,7.745117,12.68799,1.026855,-43.25586,-41.94043
45.8042,158.0518,172.752,107.2949,-13.00977,-99.396,-114.6438,-129.3486,-101.8877,-25.58398
-240.4307,-176.8564,-31.46387,128.8164,293.9606,328.6367,186.0615,-37.33398,-192.6147,-258.7532
-282.5647,-203.2275,-122.1016,51.73047,232.7749,343.769,270.4307,91.30469,-119.5273,-262.5684
0.3291016,-115.1435,-160.0624,-200.2842,-152.5889,-53.12696,84.34814,204.2666,226.4858,165.792
359.1468,383.6596,207.5078,-63.0127,-262.208,-342.557,-311.0688,-181.9131,-7.394531,217.8027
-197.3535,-169.206,-109.8223,46.14892,189.7196,269.5576,199.4092,24.02442,-90.94581,-161.5168
-166.46,-87.2334,-13.86719,144.1623,250.8579,226.665,92.43652,-89.92969,-163.9595,-192.6531
307.3232,305.458,163.8271,-54.8623,-195.1567,-264.5247,-241.6601,-153.0293,-38.33789,170.957
