ID,Latitude,Longitude,Accuracy,Time,Data1,Data2 
0.0,-33.49238393,151.30273946,3.2160000801086426,145812,0.0,0.0
10.0,-33.49238749,151.30273626,3.2160000801086426,145819,426.0,8.16
12.0,-33.4923903,151.30273771,3.2160000801086426,145820,425.0,8.17
14.0,-33.49239235,151.30273815,3.2160000801086426,145821,425.0,8.17
16.0,-33.49239025,151.30274097,3.2160000801086426,145822,424.0,8.17
18.0,-33.49238924,151.30274368,3.2160000801086426,145823,424.0,8.17
20.0,-33.49238718,151.3027491,3.2160000801086426,145824,425.0,8.17
22.0,-33.4923884,151.30275073,3.2160000801086426,145825,426.0,8.17
24.0,-33.4923895,151.30275327,3.2160000801086426,145826,425.0,8.17
26.0,-33.49238892,151.30275306,3.2160000801086426,145827,426.0,8.17
28.0,-33.49238899,151.30275282,3.2160000801086426,145828,426.0,8.17
31.0,-33.49238894,151.302753,3.2160000801086426,145829,426.0,8.17
32.0,-33.49238889,151.30275303,3.2160000801086426,145830,425.0,8.17
35.0,-33.49238881,151.30275301,3.2160000801086426,145831,425.0,8.0
37.0,-33.49238883,151.302753,3.2160000801086426,145832,424.0,8.18
39.0,-33.49238882,151.30275298,3.2160000801086426,145833,425.0,8.18
41.0,-33.49238891,151.30275291,3.2160000801086426,145834,424.0,8.18
43.0,-33.49238893,151.30275291,3.2160000801086426,145835,425.0,8.18
45.0,-33.49238896,151.30275289,3.2160000801086426,145836,425.0,8.18
47.0,-33.49238895,151.30275291,3.2160000801086426,145837,425.0,8.18
49.0,-33.4923889,151.30275286,3.2160000801086426,145838,425.0,8.18
49.0,-33.4923889,151.30275284,3.2160000801086426,145839,425.0,8.18
61.0,-33.49238885,151.30275269,3.2160000801086426,145844,4.0,0.61
64.0,-33.49238888,151.30275265,3.2160000801086426,145845,5.0,0.63
66.0,-33.49238886,151.30275264,3.2160000801086426,145846,5.0,0.65
68.0,-33.49238891,151.30275264,3.2160000801086426,145847,5.0,0.65
70.0,-33.49238888,151.30275261,3.2160000801086426,145848,5.0,0.67
72.0,-33.49238895,151.30275256,3.2160000801086426,145849,5.0,0.67
74.0,-33.49238893,151.30275255,3.2160000801086426,145850,6.0,0.69
76.0,-33.49238894,151.30275254,3.2160000801086426,145851,6.0,0.7
78.0,-33.49238896,151.30275248,3.2160000801086426,145852,6.0,0.7
80.0,-33.49238895,151.30275246,3.2160000801086426,145853,5.0,0.68
82.0,-33.49238896,151.30275246,3.2160000801086426,145854,5.0,0.68
84.0,-33.49238899,151.30275248,3.2160000801086426,145855,5.0,0.67
86.0,-33.49238902,151.30275251,3.2160000801086426,145856,5.0,0.69
88.0,-33.49238904,151.30275249,3.2160000801086426,145857,5.0,0.71
90.0,-33.49238896,151.30275245,3.2160000801086426,145858,5.0,0.72
92.0,-33.49238899,151.30275243,3.2160000801086426,145859,5.0,0.72
94.0,-33.49238903,151.30275243,3.2160000801086426,145900,5.0,0.74
96.0,-33.49238905,151.30275242,3.2160000801086426,145901,6.0,0.74
99.0,-33.49238909,151.30275243,3.2160000801086426,145902,6.0,0.73
100.0,-33.49238905,151.30275246,3.2160000801086426,145903,6.0,0.74
103.0,-33.49238905,151.30275244,3.2160000801086426,145904,6.0,0.76
5105.0,-33.49238901,151.30275242,3.2160000801086426,145905,6.0,0.76
107.0,-33.4923891,151.30275241,3.2160000801086426,145906,6.0,0.77
77109.0,-33.49238914,151.30275238,3.2160000801086426,145907,6.0,0.77
111.0,-33.49238913,151.30275238,3.2160000801086426,145908,7.0,0.77
113.0,-33.49238917,151.30275236,3.2160000801086426,145909,7.0,0.77
115.0,-33.49238916,151.30275234,3.2160000801086426,145910,7.0,0.0
117.0,-33.49238918,151.30275232,3.2160000801086426,145911,7.0,0.78
119.0,-33.49238922,151.30275229,3.2160000801086426,145912,8.0,0.78
121.0,-33.49238928,151.30275228,3.2160000801086426,145913,8.0,0.79
123.0,-33.49238924,151.30275236,3.2160000801086426,145914,8.0,0.8
125.0,-33.49238918,151.3027523,3.2160000801086426,145915,8.0,0.8
127.0,-33.49238918,151.30275231,3.2160000801086426,145916,8.0,0.8
129.0,-33.49238916,151.30275229,3.2160000801086426,145917,8.0,0.8
131.0,-33.49238916,151.30275229,3.2160000801086426,145918,9.0,0.8
134.0,-33.49238917,151.30275227,3.2160000801086426,145919,9.0,0.8
135.0,-33.49238915,151.30275226,3.2160000801086426,145920,9.0,0.8
137.0,-33.49238919,151.30275226,3.2160000801086426,145921,9.0,0.81
140.0,-33.49238919,151.30275226,3.2160000801086426,145922,9.0,0.82
142.0,-33.49239095,151.30275311,3.2160000801086426,145923,10.0,0.82
81144.0,-33.49239592,151.30275738,3.2160000801086426,145924,10.0,0.82
146.0,-33.49239193,151.30275332,3.2160000801086426,145925,10.0,0.82
148.0,-33.49239692,151.30275975,3.2160000801086426,145926,10.0,0.82
150.0,-33.49239567,151.30275863,3.2160000801086426,145927,10.0,0.83
0.84,-33.49240252,151.30276516,3.2160000801086426,145928,10.0,0.0
154.0,-33.49240555,151.30276658,3.2160000801086426,145929,10.0,0.84
156.0,-33.49240695,151.30276491,3.2160000801086426,145930,10.0,0.85
158.0,-33.49241099,151.30276587,3.2160000801086426,145931,10.0,0.84
160.0,-33.49241158,151.3027606,3.2160000801086426,145932,10.0,0.84
162.0,-33.49241147,151.30275202,3.2160000801086426,145933,10.0,0.84
164.0,-33.49241111,151.30274409,3.2160000801086426,145934,11.0,0.84
85166.0,-33.49241151,151.30273844,3.2160000801086426,145935,11.0,0.85
168.0,-33.49240964,151.30273394,3.2160000801086426,145936,11.0,0.86
170.0,-33.49240629,151.30272951,3.2160000801086426,145937,11.0,0.88
172.0,-33.49240494,151.30272696,3.2160000801086426,145938,12.0,0.89
174.0,-33.49240548,151.30272471,4.288000106811523,145939,12.0,0.89
176.0,-33.49240122,151.30272474,4.288000106811523,145940,13.0,0.89
178.0,-33.49240138,151.3027287,4.288000106811523,145941,13.0,0.9
180.0,-33.49240148,151.30272946,3.2160000801086426,145942,13.0,0.0
183.0,-33.49239966,151.3027319,3.2160000801086426,145943,13.0,0.91
185.0,-33.49239942,151.30273211,3.2160000801086426,145944,14.0,0.92
187.0,-33.49239977,151.30273183,3.2160000801086426,145945,14.0,0.93
189.0,-33.49240186,151.30272952,3.2160000801086426,145946,14.0,0.93
191.0,-33.49240269,151.3027283,3.2160000801086426,145947,15.0,0.92
193.0,-33.49240405,151.30272669,3.2160000801086426,145948,15.0,0.93
195.0,-33.49240336,151.30273281,3.2160000801086426,145949,15.0,0.92
197.0,-33.49240322,151.30274109,3.2160000801086426,145950,15.0,0.92
199.0,-33.49239835,151.3027428,3.2160000801086426,145951,15.0,0.92
201.0,-33.49239694,151.30274046,3.2160000801086426,145952,15.0,0.93
203.0,-33.49239614,151.30273736,3.2160000801086426,145953,15.0,0.94
205.0,-33.49239389,151.30273991,3.2160000801086426,145954,16.0,0.94
207.0,-33.49239104,151.3027398,3.2160000801086426,145955,16.0,0.95
209.0,-33.49239058,151.30273749,3.2160000801086426,145956,16.0,0.95
211.0,-33.49238872,151.30274172,3.2160000801086426,145957,16.0,0.95
213.0,-33.49238521,151.30275162,3.2160000801086426,145958,17.0,0.94
215.0,-33.49238256,151.30276225,3.2160000801086426,145959,17.0,0.94
217.0,-33.49238025,151.30276606,3.2160000801086426,150000,17.0,0.94
98219.0,-33.49237721,151.30276672,3.2160000801086426,150001,19.0,1.09
221.0,-33.4923821,151.30276641,3.2160000801086426,150002,29.0,1.53
223.0,-33.49238998,151.30276456,3.2160000801086426,150003,44.0,2.03
226.0,-33.49239489,151.30275677,3.2160000801086426,150004,64.0,2.76
228.0,-33.49239807,151.30275217,3.2160000801086426,150005,77.0,3.23
230.0,-33.49240219,151.30274682,3.2160000801086426,150006,84.0,4.02
