ID,Latitude,Longitude,Accuracy,Time,Data1,Data2 
0.0,-33.49232649,151.30273511,3.2160000801086426,174451,0.0,0.0
12.0,-33.49236658,151.30274276,3.2160000801086426,174459,422.0,8.12
14.0,-33.49236988,151.30274596,3.2160000801086426,174500,423.0,8.12
16.0,-33.49237222,151.30275087,3.2160000801086426,174501,424.0,8.12
18.0,-33.49237463,151.30275076,3.2160000801086426,174502,424.0,8.12
20.0,-33.49237547,151.30275048,3.2160000801086426,174503,423.0,8.12
1222.0,-33.49237666,151.30275029,3.2160000801086426,174504,424.0,8.12
24.0,-33.49237689,151.30274991,3.2160000801086426,174505,426.0,8.12
26.0,-33.49237682,151.30274971,3.2160000801086426,174506,426.0,8.12
28.0,-33.49237679,151.30274969,3.2160000801086426,174507,426.0,8.12
0.12,-33.49237678,151.30274968,3.2160000801086426,174508,426.0,8.0
32.0,-33.49237679,151.30274967,3.2160000801086426,174509,427.0,8.12
34.0,-33.49237682,151.30274966,3.2160000801086426,174510,425.0,8.12
36.0,-33.4923769,151.3027496,3.2160000801086426,174511,425.0,8.12
38.0,-33.49237689,151.30274962,3.2160000801086426,174512,425.0,8.12
40.0,-33.49237691,151.3027496,3.2160000801086426,174513,424.0,8.12
42.0,-33.49237582,151.30275,3.2160000801086426,174514,424.0,8.12
45.0,-33.49237304,151.30275106,3.2160000801086426,174515,427.0,8.12
47.0,-33.49237234,151.30274904,3.2160000801086426,174516,427.0,8.12
48.0,-33.49237309,151.30274721,3.2160000801086426,174517,427.0,8.12
5.0,-33.49237437,151.30274456,3.2160000801086426,174518,8.12039,8.12
61.0,-33.49237227,151.30273796,3.2160000801086426,174523,1.0,9.22
63.0,-33.49237037,151.30273884,3.2160000801086426,174524,1.0,9.14
65.0,-33.49236974,151.30273885,3.2160000801086426,174525,1.0,8.87
67.0,-33.49236951,151.30273905,3.2160000801086426,174526,1.0,8.98
69.0,-33.49237101,151.30273869,3.2160000801086426,174527,1.0,8.8
71.0,-33.49237231,151.30273887,3.2160000801086426,174528,1.0,8.54
73.0,-33.49237236,151.30273682,3.2160000801086426,174529,1.0,8.18
76.0,-33.49237261,151.30273495,3.2160000801086426,174530,1.0,7.83
78.0,-33.49237371,151.30273436,3.2160000801086426,174531,1.0,7.65
80.0,-33.49237509,151.30273369,3.2160000801086426,174532,1.0,7.4
581.0,-33.49237665,151.30273233,3.2160000801086426,174533,1.0,7.3
83.0,-33.49237793,151.30273231,3.2160000801086426,174534,1.0,7.62
886.0,-33.49237992,151.30273189,3.2160000801086426,174535,1.0,7.76
88.0,-33.49238086,151.30273012,3.2160000801086426,174536,1.0,7.88
790.0,-33.4923796,151.30273013,3.2160000801086426,174537,1.0,7.9
92.0,-33.49237917,151.30272976,3.2160000801086426,174538,1.0,8.04
94.0,-33.49237907,151.30272924,3.2160000801086426,174539,1.0,8.24
96.0,-33.49237899,151.30272899,3.2160000801086426,174540,1.0,8.14
98.0,-33.49237895,151.30272894,3.2160000801086426,174541,1.0,8.2
100.0,-33.49237895,151.3027289,3.2160000801086426,174542,1.0,8.26
102.0,-33.49237895,151.30272887,3.2160000801086426,174543,1.0,8.1
104.0,-33.49237893,151.30272885,3.2160000801086426,174544,1.0,7.97
106.0,-33.49237892,151.30272883,3.2160000801086426,174545,1.0,7.93
108.0,-33.4923789,151.30272882,3.2160000801086426,174546,1.0,8.03
111.0,-33.4923789,151.30272881,3.2160000801086426,174547,1.0,8.0
112.0,-33.49237891,151.30272879,3.2160000801086426,174548,1.0,8.01
115.0,-33.4923789,151.30272877,3.2160000801086426,174549,1.0,7.8
117.0,-33.49237892,151.30272875,3.2160000801086426,174550,1.0,7.78
119.0,-33.49237894,151.30272873,3.2160000801086426,174551,1.0,7.59
2121.0,-33.49237895,151.30272871,3.2160000801086426,174552,1.0,7.32
123.0,-33.49237896,151.3027287,3.2160000801086426,174553,1.0,7.54
125.0,-33.49237899,151.30272866,3.2160000801086426,174554,1.0,7.5
127.0,-33.49237902,151.30272862,3.2160000801086426,174555,1.0,7.84
129.0,-33.49237903,151.30272861,3.2160000801086426,174556,1.0,8.03
131.0,-33.49237905,151.30272861,3.2160000801086426,174557,1.0,8.07
133.0,-33.49237906,151.3027286,3.2160000801086426,174558,1.0,7.93
135.0,-33.49237902,151.30272862,3.2160000801086426,174559,1.0,8.2
137.0,-33.492379,151.30272863,3.2160000801086426,174600,1.0,7.94
139.0,-33.49237898,151.30272866,3.2160000801086426,174601,1.0,7.82
141.0,-33.49237897,151.30272866,3.2160000801086426,174602,1.0,7.9
143.0,-33.49237896,151.30272867,3.2160000801086426,174603,1.0,8.13
145.0,-33.49237895,151.30272868,3.2160000801086426,174604,1.0,7.95
147.0,-33.49237894,151.30272868,3.2160000801086426,174605,1.0,7.87
150.0,-33.4923789,151.3027287,3.2160000801086426,174606,1.0,8.21
151.0,-33.49237888,151.30272869,3.2160000801086426,174607,1.0,8.15
154.0,-33.4923788,151.30272873,3.2160000801086426,174608,1.0,7.84
156.0,-33.49237877,151.30272875,3.2160000801086426,174609,1.0,7.72
158.0,-33.49237874,151.30272874,3.2160000801086426,174610,1.0,7.63
160.0,-33.49237871,151.30272873,3.2160000801086426,174611,1.0,7.5
162.0,-33.49237867,151.30272872,3.2160000801086426,174612,2.0,7.37
3164.0,-33.49237864,151.30272872,3.2160000801086426,174613,1.0,7.37
166.0,-33.49237862,151.3027287,3.2160000801086426,174614,1.0,7.44
168.0,-33.4923786,151.3027287,3.2160000801086426,174615,1.0,7.2
170.0,-33.49237859,151.30272869,3.2160000801086426,174616,1.0,7.19
172.0,-33.49237857,151.30272868,3.2160000801086426,174617,1.0,7.0
174.0,-33.49237856,151.30272867,3.2160000801086426,174618,1.0,7.37
176.0,-33.49237855,151.30272865,3.2160000801086426,174619,1.0,7.0
178.0,-33.49237853,151.30272863,3.2160000801086426,174620,1.0,7.63
180.0,-33.49237854,151.30272859,3.2160000801086426,174621,1.0,7.68
182.0,-33.49237856,151.30272858,3.2160000801086426,174622,1.0,7.68
184.0,-33.49237857,151.30272856,3.2160000801086426,174623,1.0,7.43
186.0,-33.49237857,151.30272855,3.2160000801086426,174624,1.0,7.2
188.0,-33.49237857,151.30272851,3.2160000801086426,174625,2.0,7.12
191.0,-33.49237858,151.30272849,3.2160000801086426,174626,2.0,6.93
192.0,-33.49237858,151.30272848,3.2160000801086426,174627,2.0,6.78
195.0,-33.49237859,151.30272846,3.2160000801086426,174628,2.0,6.99
197.0,-33.4923786,151.30272842,3.2160000801086426,174629,2.0,7.09
7199.0,-33.49237861,151.30272839,3.2160000801086426,174630,2.0,7.1
201.0,-33.49237861,151.30272835,3.2160000801086426,174631,2.0,7.11
8203.0,-33.49237861,151.30272832,3.2160000801086426,174632,2.0,7.06
205.0,-33.49237861,151.30272831,3.2160000801086426,174633,4.0,6.64
207.0,-33.49237861,151.30272831,3.2160000801086426,174634,22.0,5.84
209.0,-33.49237859,151.30272831,3.2160000801086426,174635,44.0,5.18
211.0,-33.49237858,151.3027283,3.2160000801086426,174636,60.0,4.52
213.0,-33.49237856,151.30272831,3.2160000801086426,174637,68.0,4.06
215.0,-33.49237853,151.30272831,3.2160000801086426,174638,71.0,4.05
217.0,-33.49237852,151.3027283,3.2160000801086426,174639,59.0,4.38
219.0,-33.49237679,151.30273112,3.2160000801086426,174640,42.0,4.71
221.0,-33.49237504,151.30273285,3.2160000801086426,174641,32.0,4.99
223.0,-33.49237466,151.30273242,3.2160000801086426,174642,30.0,5.18
225.0,-33.49237652,151.30273485,3.2160000801086426,174643,29.0,5.27
227.0,-33.49237635,151.30273515,3.2160000801086426,174644,29.0,5.27
229.0,-33.49237849,151.30273763,3.2160000801086426,174645,29.0,5.27
232.0,-33.49238165,151.30273983,3.2160000801086426,174646,30.0,5.27
233.0,-33.49238656,151.30274,3.2160000801086426,174647,30.0,5.27
