ID, Amp, Shift, Voltage, Temp, Humidity 
109, 11921, 7.2, 12.33, 21.21882, 56.88564 
110, 11928, 7.2, 12.32, 21.1761, 56.83375 
111, 11947, 7.2, 12.32, 21.2028, 56.8246 
112, 11950, 7.2, 12.32, 21.1761, 56.84444 
113, 11954, 7.2, 12.31, 21.16274, 56.87648 
114, 12000, 7.2, 12.31, 21.1761, 56.84444 
115, 12000, 7.2, 12.31, 21.16274, 56.9482 
116, 11973, 7.2, 12.32, 21.13336, 56.94362 
117, 11946, 7.2, 12.32, 21.14672, 56.93447 
118, 11942, 7.2, 12.32, 21.12001, 56.907 
119, 11942, 7.2, 12.32, 21.10666, 56.89022 
120, 11936, 7.2, 12.33, 21.10666, 56.83375 
121, 11963, 7.2, 12.33, 21.10666, 56.82155 
122, 11957, 7.2, 12.33, 21.09064, 56.82002 
123, 11920, 7.2, 12.33, 21.10666, 56.85665 
124, 11911, 7.2, 12.33, 21.09064, 56.80629 
125, 11866, 7.2, 12.33, 21.10666, 56.86733 
126, 11891, 7.2, 12.33, 21.10666, 56.83375 
127, 11894, 7.2, 12.34, 21.07729, 56.85207 
128, 11914, 7.2, 12.33, 21.10666, 56.83375 
129, 11925, 7.2, 12.33, 21.09064, 56.84291 
130, 11932, 7.2, 12.33, 21.10666, 56.81087 
131, 11928, 7.2, 12.33, 21.07729, 56.82918 
132, 11936, 7.2, 12.33, 21.09064, 56.8307 
133, 11928, 7.2, 12.33, 21.09064, 56.80629 
134, 11910, 7.2, 12.33, 21.09064, 56.82002 
135, 11949, 7.2, 12.33, 21.09064, 56.72542 
136, 11935, 7.2, 12.33, 21.10666, 56.72847 
137, 11967, 7.2, 12.32, 21.09064, 56.6888 
138, 11940, 7.2, 12.32, 21.10666, 56.70253 
139, 11955, 7.2, 12.32, 21.10666, 56.69185 
140, 11943, 7.2, 12.32, 21.09064, 56.67811 
141, 11927, 7.2, 12.32, 21.09064, 56.66591 
142, 11887, 7.2, 12.32, 21.12001, 56.67048 
143, 11904, 7.2, 12.31, 21.09064, 56.6186 
144, 11910, 7.2, 12.31, 21.06394, 56.65065 
145, 11871, 7.2, 12.32, 21.09064, 56.701 
146, 11894, 7.2, 12.32, 21.07729, 56.75746 
147, 11889, 7.2, 12.32, 21.09064, 56.7834 
148, 11886, 7.2, 12.32, 21.07729, 56.81697 
149, 11899, 7.2, 12.32, 21.09064, 56.8307 
150, 11871, 7.2, 12.32, 21.07729, 56.86275 
151, 11845, 7.2, 12.32, 21.09064, 56.82002 
152, 11848, 7.2, 12.32, 21.07729, 56.87496 
153, 11874, 7.2, 12.33, 21.10666, 56.89022 
154, 11886, 7.2, 12.32, 21.10666, 56.92684 
155, 11925, 7.2, 12.32, 21.07729, 56.88564 
156, 11919, 7.2, 12.32, 21.13336, 56.86122 
157, 11907, 7.2, 12.31, 21.10666, 56.79713 
158, 11906, 7.2, 12.31, 21.10666, 56.78493 
159, 11911, 7.2, 12.31, 21.12001, 56.77577 
160, 11950, 7.2, 12.32, 21.09064, 56.8307 
