ID, Amp, Shift, Vlotage, Temp, Humidity 
33, 1, 0.87, 12.12, 17.72336, 80.81026 
34, 1, 0.84, 12.13, 17.75006, 80.83773 
35, 1, 0.9, 12.12, 17.73671, 80.80416 
36, 1, 0.56, 12.13, 17.72336, 80.81026 
37, 1, 0.74, 12.12, 17.71, 80.84993 
38, 1, 0.74, 12.12, 17.76608, 80.85146 
39, 1, 0.61, 12.12, 17.73671, 80.82399 
40, 1, 0.66, 12.12, 17.72336, 80.83162 
41, 1, 0.7, 12.12, 17.72336, 80.83162 
42, 1, 0.71, 12.12, 17.72336, 80.82247 
43, 1, 0.73, 12.12, 17.72336, 80.82247 
44, 1, 0.76, 12.12, 17.71, 80.83773 
45, 1, 0.71, 12.12, 17.69398, 80.8362 
46, 1, 0.73, 12.12, 17.72336, 80.85146 
47, 1, 0.57, 12.12, 17.69398, 80.84536 
48, 0, 0.9599999, 12.12, 17.72336, 80.87282 
49, 0, 1.02, 12.12, 17.72336, 80.88198 
50, 0, 1.05, 12.13, 17.71, 80.85909 
51, 0, 1.28, 12.13, 17.71, 80.83773 
52, 0, 2.2, 12.14, 17.72336, 80.85146 
53, 0, 2.94, 12.14, 17.72336, 80.87282 
54, 0, 3.31, 12.14, 17.69398, 80.86519 
55, 2, 3.54, 12.14, 17.69398, 80.84536 
56, 7, 3.74, 12.14, 17.71, 80.85909 
57, 10, 3.94, 12.14, 17.69398, 80.86519 
58, 15, 3.78, 12.14, 17.72336, 80.86061 
59, 20, 3.93, 12.14, 17.72336, 80.86061 
60, 26, 4.07, 12.14, 17.72336, 80.86061 
61, 34, 4.02, 12.14, 17.71, 80.83773 
62, 43, 3.31, 12.14, 17.71, 80.83773 
63, 52, 2.72, 12.14, 17.71, 80.83773 
64, 60, 2.55, 12.14, 17.71, 80.84993 
65, 67, 2.53, 12.14, 17.72336, 80.81026 
66, 71, 2.53, 12.14, 17.72336, 80.79195 
67, 77, 2.53, 12.14, 17.71, 80.77822 
68, 81, 2.53, 12.14, 17.69398, 80.77364 
69, 85, 2.53, 12.14, 17.71, 80.78737 
70, 88, 2.53, 12.14, 17.71, 80.75838 
71, 89, 2.53, 12.13, 17.71, 80.76754 
72, 89, 2.54, 12.13, 17.72336, 80.73092 
73, 89, 2.54, 12.13, 17.71, 80.74923 
74, 90, 2.54, 12.13, 17.71, 80.73702 
75, 90, 2.53, 12.13, 17.69398, 80.74465 
76, 90, 2.53, 12.13, 17.71, 80.73702 
77, 90, 2.53, 12.13, 17.76608, 80.75991 
78, 91, 2.53, 12.12, 17.72336, 80.72176 
79, 90, 2.53, 12.12, 17.72336, 80.73092 
80, 91, 2.53, 12.12, 17.71, 80.69887 
81, 90, 2.53, 12.13, 17.71, 80.73702 
82, 90, 2.52, 12.13, 17.72336, 80.7004 
83, 90, 2.52, 12.13, 17.72336, 80.73092 
84, 90, 2.52, 12.12, 17.72336, 80.75075 
85, 90, 2.52, 12.13, 17.69398, 80.73549 
86, 90, 2.52, 12.13, 17.72336, 80.73092 
87, 82, 2.54, 12.12, 17.71, 80.74923 
88, 73, 2.74, 12.13, 17.73671, 80.74465 
89, 64, 2.84, 12.13, 17.72336, 80.70955 
90, 55, 2.65, 12.12, 17.72336, 80.75075 
91, 47, 2.49, 12.12, 17.75006, 80.75533 
92, 37, 2.59, 12.12, 17.72336, 80.73092 
93, 29, 2.61, 12.12, 17.71, 80.75838 
94, 20, 2.69, 12.12, 17.72336, 80.75075 
95, 11, 2.52, 12.12, 17.72336, 80.77211 
96, 2, 2.34, 12.12, 17.72336, 80.78127 
97, 1, 2.47, 12.12, 17.72336, 80.75075 
98, 1, 2.1, 12.11, 17.72336, 80.75075 
99, 1, 1.84, 12.1, 17.69398, 80.74465 
100, 1, 1.88, 12.11, 17.71, 80.76754 
101, 1, 2.18, 12.11, 17.73671, 80.74465 
102, 1, 2.15, 12.1, 17.72336, 80.7416 
103, 1, 1.96, 12.1, 17.72336, 80.73092 
104, 1, 2.03, 12.1, 17.71, 80.76754 
105, 1, 2.32, 12.09, 17.69398, 80.76448 
106, 1, 2.45, 12.09, 17.69398, 80.76448 
107, 1, 2.41, 12.08, 17.72336, 80.75075 
108, 0, 2.64, 12.08, 17.71, 80.72786 
109, 0, 2.72, 12.08, 17.72336, 80.70955 
110, 0, 3.04, 12.08, 17.71, 80.76754 
111, 0, 3.06, 12.08, 17.71, 80.75838 
112, 0, 3.14, 12.08, 17.69398, 80.72329 
113, 0, 3.49, 12.08, 17.71, 80.69887 
114, 0, 3.37, 12.08, 17.69398, 80.72329 
115, 0, 3.13, 12.08, 17.71, 80.69887 
116, 0, 3.29, 12.08, 17.69398, 80.70498 
117, 0, 3.18, 12.08, 17.69398, 80.69429 
118, 1, 3.29, 12.08, 17.69398, 80.68514 
119, 1, 3.5, 12.08, 17.71, 80.69887 
120, 0, 3.3, 12.08, 17.69398, 80.70498 
121, 0, 3.26, 12.08, 17.69398, 80.67293 
122, 0, 3.06, 12.08, 17.71, 80.69887 
123, 0, 2.95, 12.07, 17.72336, 80.68972 
124, 0, 2.79, 12.07, 17.69398, 80.65309 
125, 0, 3.04, 12.07, 17.69398, 80.67293 
126, 0, 2.82, 12.07, 17.69398, 80.67293 
127, 0, 2.79, 12.07, 17.71, 80.65766 
128, 0, 2.47, 12.07, 17.69398, 80.64393 
129, 0, 2.51, 12.07, 17.71, 80.66683 
130, 0, 2.73, 12.07, 17.69398, 80.67293 
131, 0, 2.73, 12.07, 17.69398, 80.66377 
132, 0, 2.91, 12.07, 17.68063, 80.67141 
133, 1, 2.95, 12.07, 17.69398, 80.66377 
134, 1, 3.22, 12.07, 17.69398, 80.68514 
135, 1, 3.19, 12.07, 17.68063, 80.66224 
136, 1, 3.46, 12.07, 17.66727, 80.66835 
137, 1, 3.45, 12.07, 17.66727, 80.67751 
138, 1, 3.55, 12.07, 17.65392, 80.65461 
139, 0, 3.44, 12.08, 17.66727, 80.66835 
140, 0, 3.42, 12.08, 17.68063, 80.73092 
141, 0, 3.46, 12.08, 17.68063, 80.67141 
142, 0, 3.5, 12.08, 17.69398, 80.67293 
143, 0, 3.35, 12.09, 17.66727, 80.66835 
144, 0, 3.38, 12.09, 17.69398, 80.67293 
145, 0, 3.4, 12.09, 17.69398, 80.66377 
146, 0, 3.05, 12.09, 17.66727, 80.68972 
147, 1, 3.14, 12.09, 17.69398, 80.69429 
148, 4, 3.18, 12.09, 17.66727, 80.69887 
149, 9, 3.03, 12.09, 17.68063, 80.67141 
150, 12, 2.85, 12.09, 17.68063, 80.69124 
