ID,Latitude,Longitude,Accuracy,Time,Data1,Data2 
0.0,-33.49235895,151.30275012,3.2160000801086426,112201,0.0,0.0
9.0,-33.49235133,151.30272474,3.2160000801086426,112207,119.0,7.41
11.0,-33.49235226,151.30272637,3.2160000801086426,112208,119.0,7.4
13.0,-33.49235148,151.30272836,3.2160000801086426,112209,118.0,7.4
15.0,-33.49235321,151.30273394,3.2160000801086426,112210,119.0,7.4
417.0,-33.4923502,151.30273337,3.2160000801086426,112211,118.0,7.41
19.0,-33.49234977,151.30273478,3.2160000801086426,112212,118.0,7.41
21.0,-33.49234872,151.3027342,3.2160000801086426,112213,118.0,7.0
0.42,-33.49234766,151.30273571,3.2160000801086426,112214,119.0,7.0
26.0,-33.49234357,151.30273895,3.2160000801086426,112215,119.0,7.4
427.0,-33.4923383,151.30273847,3.2160000801086426,112216,119.0,7.44
31.0,-33.49233905,151.30274545,3.2160000801086426,112218,119.0,7.44
34.0,-33.4923442,151.30274594,3.2160000801086426,112219,119.0,7.43
36.0,-33.49234243,151.30274862,3.2160000801086426,112220,119.0,7.43
4238.0,-33.49234365,151.30274981,3.2160000801086426,112221,119.0,7.0
40.0,-33.49234064,151.30275133,3.2160000801086426,112222,120.0,7.43
42.0,-33.49234528,151.30275103,3.2160000801086426,112223,119.0,7.0
44.0,-33.49234405,151.30275371,3.2160000801086426,112224,119.0,7.44
45.0,-33.4923451,151.30275293,3.2160000801086426,112225,120.0,7.0
48.0,-33.49234379,151.30275364,3.2160000801086426,112226,119.0,7.45
49.0,-33.49234587,151.30275235,3.2160000801086426,112227,119.0,7.45
61.0,-33.49234609,151.30275127,3.2160000801086426,112232,3.0,0.59
62.0,-33.49234608,151.30275127,3.2160000801086426,112233,2.0,0.61
65.0,-33.49234626,151.30275113,3.2160000801086426,112234,2.0,0.74
67.0,-33.49234632,151.30275114,3.2160000801086426,112235,1.0,1.19
69.0,-33.49234636,151.30275112,3.2160000801086426,112236,1.0,1.28
71.0,-33.49234641,151.30275113,3.2160000801086426,112237,1.0,1.5
73.0,-33.49234642,151.30275114,3.2160000801086426,112238,1.0,1.44
75.0,-33.49234638,151.30275113,3.2160000801086426,112239,1.0,1.36
77.0,-33.49234641,151.30275113,3.2160000801086426,112240,1.0,0.92
79.0,-33.49234645,151.30275111,3.2160000801086426,112241,2.0,0.84
83.0,-33.49234646,151.30275111,3.2160000801086426,112243,2.0,0.7
85.0,-33.49234648,151.30275112,3.2160000801086426,112244,2.0,0.7
87.0,-33.49234649,151.30275111,3.2160000801086426,112245,2.0,0.67
89.0,-33.49234649,151.30275111,3.2160000801086426,112246,2.0,0.8
91.0,-33.49234652,151.30275113,3.2160000801086426,112247,2.0,0.77
93.0,-33.49234655,151.30275115,3.2160000801086426,112248,2.0,1.05
95.0,-33.49234658,151.30275118,3.2160000801086426,112249,1.0,1.17
98.0,-33.49234661,151.3027512,3.2160000801086426,112250,1.0,1.42
100.0,-33.49234666,151.30275121,3.2160000801086426,112251,1.0,2.06
47102.0,-33.49234669,151.30275124,3.2160000801086426,112252,0.0,2.8
104.0,-33.49234672,151.30275126,3.2160000801086426,112253,0.0,2.5
108.0,-33.49234678,151.30275125,3.2160000801086426,112255,0.0,2.0
110.0,-33.49234678,151.30275125,3.2160000801086426,112256,0.0,2.08
112.0,-33.49234676,151.30275125,3.2160000801086426,112257,1.0,1.35
113.0,-33.49234673,151.30275126,3.2160000801086426,112258,1.0,1.33
116.0,-33.49234669,151.30275134,3.2160000801086426,112259,1.0,1.24
118.0,-33.49234673,151.30275128,3.2160000801086426,112300,1.0,0.93
120.0,-33.49234713,151.30275081,3.2160000801086426,112301,1.0,0.98
122.0,-33.4923473,151.30275064,3.2160000801086426,112302,1.0,0.9599999
