i0,i1,i2,i3,i4,i5,i6,i7,i8,i9,
-38848.6,-39792.6,-28064.6,-2401.602,24088.4,40589.4,41403.4,26550.4,1313.398,-24837.6,
37981.7,42748.7,31256.7,7749.703,-19312.3,-36943.3,-40405.3,-32314.3,-9118.297,18356.7,
-40043.2,-29281.2,-4199.203,22611.8,39943.8,41868.8,27870.8,3058.797,-23422.2,-38408.2,
-1737.5,-27132.5,-39487.5,-39285.5,-25773.5,704.5,26507.5,41466.5,40538.5,24199.5,
-39164.1,-25258.1,1363.898,26986.9,41609.9,40297.9,23626.9,-2341.101,-27546.1,-39576.1,
-32935.3,-40480.29,-36623.3,-17867.3,9893.703,33025.7,42991.7,36567.7,16240.7,-10813.3,
-40100.9,-29498.9,-4525.898,22286.1,39812.1,41929.1,28128.1,3387.101,-23096.9,-38319.9,
-40352.5,-37376.5,-19748.5,7837.5,31675.5,42800.5,37593.5,18069.5,-8739.5,-31759.5,
38884.5,20562.5,-5986.5,-30013.5,-40107.5,-38229.5,-22265.5,5048.5,29706.5,42400.5,
-7186.399,-30777.4,-40225.4,-37897.4,-21184.4,6251.602,30549.6,42582.6,38345.6,19541.6,
29221.7,4917.703,-21810.3,-37862.3,-40253.3,-30472.3,-6110.297,20955.7,39196.7,42216.7,
-34262.7,-12698.7,15014.3,36080.3,42988.3,33566.3,11262.3,-15891.7,-35503.7,-40554.7,
-37021.9,-40426.9,-32158.9,-8862.899,18539.1,37970.1,42615.1,31118.1,7606.102,-19377.9,
6230.5,30501.5,42548.5,38348.5,19545.5,-7076.5,-30717.5,-40240.5,-37915.5,-21224.5,
-28339.0,-39808.0,-38897.0,-24301.0,2535.0,27844.0,41910.0,39815.0,22686.0,-3445.0,
32974.1,42926.1,36563.1,16286.1,-10688.9,-32839.9,-40499.9,-36626.9,-17890.9,9797.102,
-34068.8,-40583.8,-35713.8,-15699.8,12034.2,34315.2,43047.2,35369.2,14188.2,-12887.8,
42449.6,38638.6,20141.6,-6420.398,-30264.4,-40190.4,-38110.4,-21785.4,5529.602,30011.6,
38211.4,19386.4,-7241.601,-30793.6,-40275.6,-37825.6,-21025.6,6373.398,30600.4,42590.4,
42674.5,31254.5,7793.5,-19178.5,-36906.5,-40473.5,-32282.5,-9058.5,18318.5,37858.5,
-39658.7,-27172.7,-1239.703,24925.3,40826.3,41006.3,25693.3,274.2969,-25557.7,-39096.7,
-28320.3,-39830.3,-38853.29,-24246.3,2553.703,27845.7,41823.7,39760.7,22682.7,-3416.297,
-40589.5,-36256.5,-16990.5,10706.5,33452.5,42939.5,36082.5,15474.5,-11508.5,-33310.5,
12890.8,-14171.2,-34702.2,-40632.2,-35047.2,-14351.2,13321.8,35075.8,43025.79,34589.8,
35347.29,14256.3,-12837.7,-34006.7,-40582.7,-35714.7,-15740.7,11992.3,34264.3,43022.29,
-36005.9,-16346.9,11354.1,33867.1,42974.1,35710.1,14852.1,-12151.9,-33661.9,-40590.9,
40812.6,41053.6,25818.6,486.6015,-25381.4,-39048.4,-39694.4,-27326.4,-1448.398,24727.6,
37586.7,18206.7,-8501.297,-31564.3,-40408.3,-37395.3,-19810.3,7701.703,31473.7,42710.7,
-20373.7,7052.297,31059.3,42630.3,37866.3,18787.3,-7853.703,-31179.7,-40371.7,-37616.7,
-32902.7,-40553.7,-36577.7,-17722.7,9913.297,32937.3,42868.29,36497.29,16222.3,-10681.7,
-2902.102,23549.9,40259.9,41456.9,26954.9,1955.898,-24210.1,-38728.1,-39955.1,-28382.1,
36975.1,42806.1,32398.1,9570.102,-17452.9,-36228.9,-40578.9,-33291.9,-10839.9,16643.1,
6067.602,-20735.4,-37504.4,-40396.4,-31151.4,-7196.398,19950.6,38629.6,42331.6,30004.6,
32243.4,42783.4,37042.4,17235.4,-9591.601,-32208.6,-40500.6,-37011.6,-18784.6,8792.398,
5716.797,-20996.2,-37634.2,-40381.2,-30922.2,-6826.203,20221.8,38778.8,42279.8,29762.79,
-35454.5,-40677.5,-34229.5,-12628.5,14952.5,35996.5,42887.5,33548.5,11312.5,-15707.5,
31085.3,42629.29,37825.3,18727.3,-7916.703,-31193.7,-40372.7,-37577.7,-20306.7,7100.297,
20394.9,38840.9,42219.9,29645.9,5606.899,-21081.1,-37684.1,-40370.1,-30865.1,-6708.102,
9915.898,-17088.1,-36060.1,-40626.1,-33450.1,-11205.1,16300.9,36735.9,42831.9,32644.9,
40377.1,41313.1,26626.1,1568.102,-24487.9,-38808.9,-39882.9,-28026.9,-2514.898,23837.1,
19184.4,-7381.602,-30864.6,-40326.6,-37738.6,-20753.6,6598.399,30696.4,42478.4,38107.4,
37507.0,18056.0,-8620.0,-31648.0,-40461.0,-37337.0,-19593.0,7877.0,31555.0,42664.0,
-2369.203,-27494.2,-39641.2,-39148.2,-25072.2,1512.797,26991.8,41540.79,40133.8,23545.8,
40498.6,24417.6,-1164.398,-26630.4,-39426.4,-39405.4,-25938.4,312.6016,26098.6,41237.6,
37278.3,17709.3,-9008.703,-31835.7,-40479.7,-37181.7,-19214.7,8267.297,31784.3,42681.29,
42514.9,30891.9,7440.898,-19424.1,-37020.1,-40530.1,-31945.1,-8579.102,18672.9,37977.9,
-37646.9,-20428.9,6934.101,30889.1,42492.1,37899.1,18916.1,-7649.899,-31018.9,-40385.9,
-10126.3,-32547.3,-40572.3,-36759.3,-18161.3,9374.703,32537.7,42778.7,36745.7,16729.7,
28194.3,41868.3,39506.29,22183.3,-3874.703,-28556.7,-39912.7,-38757.7,-23740.7,3090.297,
42792.3,32819.29,10297.3,-16648.7,-35869.7,-40654.7,-33630.7,-11544.7,15932.3,36507.3,
5421.0,29810.0,42256.0,38570.0,20237.0,-6123.0,-30023.0,-40225.0,-38105.0,-21818.0,
308.4101,112.1313,-650.7891,745.2851,1563.703,-1452.625,-1173.328,-53.39063,290.5039,310.0898,
187.5059,-210.3101,-567.8027,1650.277,338.8633,-1733.314,-565.5005,242.0117,353.9258,304.3437,
9.328125,1920.551,-748.4766,-1619.911,-355.082,243.8789,284.6523,328.6758,266.1074,-329.7021,
1813.348,-172.2461,-1667.182,-338.5556,309.4258,311.4492,233.0508,198.9629,-339.6445,-348.6269,
965.918,1297.293,-1607.008,-1104.473,-52.77734,283.6719,312.3047,346.5879,167.0505,-608.6269,
40.37109,295.7148,337.0273,382.0,119.0974,-556.7812,1397.887,785.5664,-1848.406,-952.503,
-158.4805,1864.832,-377.7305,-1807.176,-545.1357,142.4707,266.1641,365.7305,378.1894,-128.8516,
243.6601,368.3789,440.7402,158.0944,-517.6406,1340.926,893.2148,-1870.141,-1001.515,-55.76172,
1813.574,-201.7305,-1857.756,-625.1338,104.418,276.6328,364.9414,397.9531,-52.66016,-220.207,
88.12891,245.6953,372.1133,441.7812,24.73975,-287.1289,1746.305,61.88672,-1959.785,-733.7344,
-413.2324,250.0195,1828.727,-1016.426,-1477.515,-293.9648,210.7773,291.0703,345.2344,275.3057,
340.5039,220.0615,-376.8623,173.0898,1868.926,-871.7031,-1503.258,-314.3154,192.6953,270.8711,
-13.11475,-412.6074,1630.473,277.0586,-1868.119,-731.3052,62.19336,277.1211,370.5469,407.7266,
196.5195,278.0273,297.0469,299.6856,-71.64844,-438.1113,1680.379,198.3594,-1804.287,-635.9428,
243.4531,-294.1826,-54.2461,1855.133,-583.457,-1608.873,-373.2168,214.8438,288.4609,312.0469,
1724.977,86.01563,-1999.359,-833.8017,-51.80078,215.2266,411.1836,515.5468,143.0088,-210.9922,
518.9004,21.45801,12.68555,1856.227,-530.9023,-1916.913,-695.4717,6.318359,255.7773,471.8984,
60.22461,258.625,359.5977,437.2109,109.5181,-357.2305,1634.375,290.4062,-1943.211,-849.5097,
158.2227,237.0039,354.543,337.7715,-223.5068,259.7695,1833.996,-962.5507,-1570.778,-424.4922,
1086.066,-1800.514,-1204.186,-237.0137,170.5937,342.9414,504.5156,366.1694,-372.9922,1144.406,
-34.04297,1847.519,-508.6055,-1828.578,-624.1357,38.62696,228.0742,410.1953,467.1943,3.733398,
-1692.387,-498.7754,115.6758,212.3516,394.2969,410.4004,-150.2207,94.32422,1860.648,-746.2968,
-153.9805,1829.332,-387.2305,-1714.676,-527.6357,143.9707,215.6641,330.2305,351.6894,-87.35156,
126.1406,1836.094,-795.0469,-1750.695,-588.0147,66.25782,205.3125,443.4531,481.125,-24.5752,
-290.6524,143.7891,304.0703,492.7207,422.4971,-303.541,851.0077,1430.723,-1629.928,-1420.693,
1600.559,-1454.238,-1579.164,-452.1387,78.92969,269.8477,518.6484,515.5547,-169.4531,671.4805,
818.5351,-1792.879,-848.0786,33.25195,230.9336,287.4687,372.8906,106.0925,-515.25,1307.07,
-1729.062,-928.6202,-12.49414,240.1641,250.1133,370.0644,161.624,-511.5039,1219.836,939.8867,
-578.6231,1220.641,926.3046,-1735.143,-872.5919,12.83203,253.5664,286.8984,368.3672,117.7988,
371.4316,176.9845,-475.1172,1248.23,949.2929,-1760.646,-967.1812,-62.0625,221.5742,297.5,
55.16357,-451.8476,1460.668,557.6133,-1806.871,-788.7712,45.24414,212.7383,323.8008,392.2871,
258.457,414.9238,384.0527,-269.124,450.8125,1753.539,-1137.932,-1554.065,-391.9072,91.17969,
717.6758,-1892.285,-990.3781,-109.5098,209.8203,337.1289,481.0859,250.1787,-369.6875,1365.977,
267.1562,374.8535,240.2187,-454.2773,871.2891,1367.047,-1543.66,-1167.989,-167.5137,212.9062,
1630.395,-1289.06,-1365.415,-282.0625,146.0938,236.0117,370.4629,331.8047,-311.5391,533.3047,
398.2676,304.4385,-367.293,712.6914,1553.351,-1419.855,-1318.026,-264.2754,132.7305,268.0547,
-1703.426,-506.6797,100.334,207.8633,294.8867,382.6406,-85.11329,-119.127,1771.34,-342.6875,
1773.23,-901.3984,-1490.953,-342.0107,147.0117,200.1758,335.8125,315.3535,-266.5791,229.3945,
-90.08204,-1768.58,-614.2344,42.50586,212.8555,296.2891,398.7871,11.44141,-210.2988,1721.348,
154.5764,-355.6074,1511.93,479.6562,-1862.158,-851.9763,-55.79492,183.6719,315.9492,479.7558,
159.7239,-322.4082,1534.609,385.6211,-1900.141,-863.7378,-60.60156,205.3945,356.3867,505.1348,
-1256.777,-229.8672,147.7969,230.0234,356.834,281.1772,-358.7148,615.6133,1562.383,-1348.428,
151.3984,341.0273,545.5859,323.5184,-267.209,1462.012,598.3789,-1940.174,-1029.126,-185.3808,
215.3984,1789.23,-856.6289,-1606.007,-486.8818,49.0,150.1758,407.0195,428.4277,-89.71778,
-174.2461,152.8125,339.5,572.3164,388.3826,-261.7519,1392.187,659.5,-1963.32,-1105.374,
1744.375,-870.9961,-1564.018,-441.3808,76.76172,182.625,361.9922,397.0019,-131.626,245.2305,
-950.7276,-109.998,133.7969,337.4297,526.9824,306.9343,-295.7969,1420.41,565.7734,-1934.768,
-139.2529,276.625,1741.774,-888.5703,-1597.581,-478.9629,50.16016,181.0234,392.3906,462.3818,
-405.7363,999.8242,1201.199,-1638.07,-1126.526,-192.8711,130.5781,236.2031,456.4941,338.9365,
-1643.971,-1123.999,-198.041,135.2969,241.7227,440.7773,346.7993,-374.1601,1041.5,1134.074,
353.5,1718.226,-1049.926,-1511.976,-427.4453,47.28906,188.5703,403.707,424.7959,-146.7539,
267.6367,475.4648,263.4018,-310.4863,1484.648,556.7734,-1857.068,-929.9892,-106.1016,155.7578,
797.5273,-1756.18,-932.4636,-106.4043,130.3477,229.4765,445.1816,243.4471,-339.5996,1288.652,
1767.16,-503.2929,-1864.398,-757.6641,-100.916,130.4336,423.8828,596.9863,187.2715,120.5176,
1056.715,-1706.289,-1157.243,-255.3906,80.63672,284.8789,479.8965,390.8298,-280.0059,1105.961,
-54.73047,-1736.891,-626.9106,-6.269531,138.6953,292.1406,426.3105,68.33106,-175.3203,1674.711,
1118.496,-1746.805,-1337.27,-343.5918,56.875,251.5078,575.8066,570.2537,-193.4062,1048.125,
-449.2393,0.3710938,205.9102,430.6465,524.0518,-84.3418,556.0351,1665.496,-1245.24,-1603.648,
-1966.68,-932.7168,-175.4863,125.4727,364.2187,624.2656,338.3042,-95.92578,1641.125,77.3711,
1396.934,-1569.566,-1506.286,-478.4355,-13.35547,223.6641,551.1621,607.8628,-78.9668,866.9492,
-1894.879,-829.7705,-119.4531,99.95313,404.5078,625.873,289.7842,29.46094,1715.047,-320.5117,
104.75,440.3086,682.6816,352.5537,98.25195,1740.844,-344.7148,-1963.045,-916.9736,-194.6562,
235.6211,489.1973,386.6201,-256.8945,1140.289,998.789,-1707.785,-1132.208,-244.7129,91.12109,
307.7539,611.2519,522.4163,-154.2285,1371.578,716.6563,-1930.842,-1209.983,-301.3769,66.82813,
1451.125,-1498.4,-1549.875,-544.1016,-82.95703,214.4727,541.9961,641.4526,11.69922,814.5508,
63.48731,336.4062,1731.539,-924.2188,-1727.853,-635.502,-59.41797,135.4609,457.2383,622.8662,
-874.3095,-98.10547,84.64844,289.9023,497.3691,315.1098,-231.0937,1506.148,385.8945,-1875.561,
710.7036,8.673828,934.2265,1331.926,-1658.711,-1567.494,-568.4668,-58.00781,210.2773,656.9238,
-1313.048,-354.7305,40.98438,200.1094,460.9531,518.062,-165.2559,911.0195,1283.891,-1581.955,
-247.1231,85.80078,488.3437,780.4404,420.2256,306.5332,1761.606,-627.9375,-2009.035,-958.8115,
-619.6172,-90.3086,181.4531,546.8594,675.0166,141.2129,646.8984,1552.141,-1354.266,-1679.416,
-75.75781,1581.832,229.4062,-1932.957,-1014.353,-273.4395,55.96485,317.3867,636.7383,475.1631,
471.4258,523.3477,-115.8184,929.4296,1321.277,-1552.232,-1336.158,-407.9727,-54.24219,220.9219,
327.9101,552.2832,254.1553,62.85352,1701.445,-298.1133,-1811.481,-770.3721,-140.0547,121.3516,
45.85547,-1944.795,-922.4517,-213.9961,51.52734,345.5586,658.2031,418.8618,-27.5957,1588.879,
-295.664,38.52344,290.4414,619.9375,521.0886,-107.5352,1360.273,669.3554,-1922.141,-1174.283,
-1113.48,-336.9883,-9.066406,403.3437,778.5312,610.6973,86.19141,1601.273,89.85547,-2110.312,
-1003.113,-279.3789,43.96094,446.3828,792.8633,537.5327,135.7871,1672.449,-255.9766,-2090.461,
-226.7422,96.20313,383.625,700.7637,441.791,97.14258,1663.203,-185.2109,-1998.361,-972.3769,
938.2852,1307.703,-1683.625,-1601.307,-690.3906,-165.4844,227.0898,670.4082,796.1186,201.1816,
-177.0352,133.6094,557.7031,799.7422,320.084,574.8398,1612.187,-1123.914,-1854.951,-842.2822,
1299.324,-1592.312,-1450.095,-531.0508,-85.60157,197.6719,534.3223,671.0888,55.06055,901.6054,
1290.25,717.1289,-1896.578,-1213.822,-375.7851,-20.05078,261.0781,665.7656,599.0486,-27.00977,
456.1016,837.5429,525.5195,294.8906,1740.227,-574.3008,-2026.74,-988.6972,-325.1035,60.57031,
1558.937,-1222.533,-1673.667,-705.5088,-184.4219,131.8594,522.3262,714.4482,226.3096,632.2187,
-176.6875,-2058.91,-1091.576,-378.3867,4.171875,381.0898,814.3301,644.9951,198.8008,1662.234,
-663.6523,-158.2109,193.0703,697.7207,857.497,214.459,982.0078,1259.723,-1716.928,-1665.693,
-818.6797,-235.6797,14.86328,387.8984,688.6406,410.8867,219.8848,1687.34,-441.6953,-1913.437,
